key_resp.corr,key_resp.rt,,,seqRT,,,,randRT
1,0.2589154,,1,0.2589154,,,0,0.4439124
1,0.1214932,,1,0.1214932,,,1,0.5890692
1,0.2713095,,1,0.2713095,,,1,0.3052192
1,0.494527,,1,0.494527,,,1,0.3909223
1,0.4732327,,1,0.4732327,,,1,0.4654449
1,0.2567252,,1,0.2567252,,,1,0.2719854
1,0.4382622,,1,0.4382622,,,1,0.3671099
1,0.2047654,,1,0.2047654,,,1,0.3588674
1,0.2909204,,1,0.2909204,,,1,0.6250254
1,0.278994,,1,0.278994,,,1,0.2674571
1,0.5816095,,1,0.5816095,,,1,0.4612989
1,0.2392874,,1,0.2392874,,,1,0.5215005
1,0.2450146,,1,0.2450146,,,1,0.4566683
1,0.2945415,,1,0.2945415,,,1,0.3584844
1,0.2251013,,1,0.2251013,,,1,0.3630007
1,0.3173366,,1,0.3173366,,,1,0.4103568
1,0.3512614,,1,0.3512614,,,1,0.4047577
1,0.2740911,,1,0.2740911,,,1,0.4365414
1,0.2992877,,1,0.2992877,,,1,0.4215276
1,0.2444545,,1,0.2444545,,,1,0.4241364
1,0.2551432,,1,0.2551432,,,1,0.3981202
1,0.2386563,,1,0.2386563,,,1,0.300191
1,0.2800498,,1,0.2800498,,,1,0.4338584
1,0.2489449,,1,0.2489449,,,1,0.3943545
1,0.2211724,,1,0.2211724,,,1,0.3928634
1,0.1388082,,1,0.1388082,,,1,0.5551181
1,0.3005882,,1,0.3005882,,,1,0.5738949
1,0.3143825,,1,0.3143825,,,1,0.5478779
1,0.3154048,,1,0.3154048,,,1,0.7294291
1,0.242225,,1,0.242225,,,1,0.6266176
1,0.3843937,,1,0.3843937,,,1,0.4530964
1,0.2820951,,1,0.2820951,,,1,0.4324057
1,0.2483902,,1,0.2483902,,,0,0.4695075
1,0.2218791,,1,0.2218791,,,1,0.371794
1,0.2464767,,1,0.2464767,,,1,0.7010183
1,0.2780536,,1,0.2780536,,,1,0.4621408
1,0.3054666,,1,0.3054666,,,1,0.33028
1,0.2429888,,1,0.2429888,,,0,0.4471849
1,0.4175984,,1,0.4175984,,,1,0.4261577
1,0.2771126,,1,0.2771126,,,1,0.4847257
1,0.2773043,,1,0.2773043,,,1,0.4281295
1,0.210543,,1,0.210543,,,1,0.4151157
1,0.254931,,1,0.254931,,,1,0.5504427
1,0.2510187,,1,0.2510187,,,1,0.6426265
0,0.1789679,,0,0.1789679,,,1,0.4263052
1,0.0936557,,1,0.0936557,,,1,0.3546237
1,0.2560751,,1,0.2560751,,,1,0.4299836
1,0.2676117,,1,0.2676117,,,1,0.5803567
1,0.4065726,,1,0.4065726,,,1,0.3392633
1,1.7396464,,1,1.7396464,,,1,0.8250396
1,0.3281601,,1,0.3281601,,,1,0.8744569
1,0.2443703,,1,0.2443703,,,1,0.3507214
1,0.3750598,,1,0.3750598,,,1,0.4662935
1,0.2760018,,1,0.2760018,,,1,0.7393282
1,0.3449938,,1,0.3449938,,,1,0.6385976
1,0.3012453,,1,0.3012453,,,1,0.5551547
1,0.3937457,,1,0.3937457,,,1,0.4955095
1,0.3273943,,1,0.3273943,,,1,0.4965083
1,0.3137748,,1,0.3137748,,,1,0.566846
1,0.2432683,,1,0.2432683,,,1,0.4622165
1,0.2220892,,1,0.2220892,,,1,0.5073917
1,0.2871764,,1,0.2871764,,,1,0.3885628
0,0.3585803,,0,0.3585803,,,1,0.7085841
1,0.2416863,,1,0.2416863,,,1,0.6173026
1,1.8766505,,1,1.8766505,,,1,0.5215163
1,0.7561402,,1,0.7561402,,,1,0.5301894
1,0.5922086,,1,0.5922086,,,1,0.5384286
1,0.243668,,1,0.243668,,,1,0.5280703
1,0.2809416,,1,0.2809416,,,1,0.6552807
1,0.037819,,1,0.037819,,,1,0.5009006
1,0.2938077,,1,0.2938077,,,1,0.5753679
1,0.2688027,,1,0.2688027,,,1,0.7344704
